Benefit,Eligibility,Value,Details
Health Insurance (Employee),All permanent employees from day 1,"INR 5,00,000 cover per year","Cashless at 5,000+ network hospitals. Covers: hospitalisation, ICU, surgery, specialist consultations."
Health Insurance (Family),After 6 months of service,"INR 5,00,000 cover (shared with employee)",Covers spouse and up to 2 dependent children below age 25.
Dental Insurance,All permanent employees from day 1,"INR 25,000 per year","Covers routine cleanings (2x/year), fillings, extractions, and root canals. Cosmetic dentistry excluded."
Vision Insurance,All permanent employees from day 1,"INR 10,000 per year","Covers comprehensive eye exam (1x/year), prescription glasses or contact lenses."
Term Life Insurance,All permanent employees from day 1,5x Annual CTC (up to INR 1 Crore),Group term life insurance. Accidental death and disability cover included.
Provident Fund (PF),All employees under Indian labour law,12% of Basic Salary (employer matched),Employee contributes 12% of basic salary. Employer matches 12%. Managed by EPFO.
Gratuity,After 5 years of continuous service,As per Payment of Gratuity Act 1972,"Calculated as: 15 days salary × years of service. Payable at resignation, retirement, or death."
Annual Performance Bonus,Permanent employees with rating >= 3/5,Up to 20% of Annual CTC,Payout in April each year. Prorated for employees joining mid-year. Rating < 3 receives no bonus.
Employee Stock Options (ESOPs),Senior Engineer and above (Band 4+),Varies by band and performance,Vest over 4 years (25% per year) after a 1-year cliff. Strike price set at grant date fair market value.
Annual L&D Budget,All permanent employees,"INR 75,000 per financial year","Courses, certifications, conferences, books. Requires proof of completion. Does not roll over."
Home Internet Allowance,Permanent remote/hybrid employees,"INR 2,000 per month",Reimbursed via payroll upon submission of monthly internet bill.
Mobile Allowance,"Sales, BD, CS, EM roles","INR 1,500 per month",Added to monthly payroll. No receipt required.
Gym & Wellness Reimbursement,All permanent employees,"INR 6,000 per year (INR 500/month)","Covers gym memberships, yoga, swimming, sports club fees. Receipt required."
Meal Vouchers (Sodexo),All permanent employees at office,"INR 3,000 per month","Loaded on Sodexo card. Usable at 1,500+ partner restaurants and online food platforms."
Work From Home Stipend (One-Time),Employees switching to permanent remote,"INR 20,000 one-time","For ergonomic chair, desk, monitor, webcam, or other home office setup. Receipt required."
NPS Corporate Contribution,Employees opting into NPS scheme,"INR 6,000 per year from employer",Employer contributes INR 500/month to National Pension System Tier-1 account.
Relocation Assistance,Employees relocating >250 km for role,"Up to INR 1,00,000 one-time","Covers moving company, security deposit support, temporary accommodation (up to 15 days)."
Sabbatical Leave,Employees with 5+ years of tenure,Up to 3 months unpaid,Subject to management approval. Benefits maintained during sabbatical. Guaranteed role on return.
Employee Referral Bonus,All permanent employees,"INR 25,000 per successful referral",Paid after the referred employee completes 6 months. No cap on number of referrals.
